Class,Day,Time,Studio,Type ,
Kettlebells,Monday,0645 - 0745,3a,Strength,
Pilates,Monday,0930 - 1030,1,Flexibility/Wellbeing,
Body Balance ,Monday,1215 - 1315,1,Flexibility/Wellbeing,
Body Pump,Monday,1215 - 1300,3a,Strength,
Zumba Gold,Monday,1320 - 1405,3a,Cardio,
Indoor cycling,Monday,1730 - 1800 ,1,Cardio,
CXWORX,Monday,1740 - 1810,3a,Strength,
Pilates,Monday,1810 - 1910,1,Flexibility/Wellbeing,
BodyCombat,Monday,1820 - 1920,3a,Cardio/Weight Loss,
Kettlebells,Monday,1830 - 1915,3,Strength,
Body Attack,Monday,1930 - 2030,3/3a,Cardio/Weight loss ,
BodyBalance,Monday,1930 - 2025,1,Flexibility/Wellbeing,
Metafit,Tuesday,0630 - 0700,3a,Cardio ,
Endurance Cycling,Tuesday,0700 - 0800,1,Cardio ,
Pilates,Tuesday,0930 - 1030,1,Flexibility/Wellbeing,
Aqua Aerobics,Tuesday,1115 - 1200,Pool,Cardio,
Body Pump,Tuesday,1205 - 1250,3a,Strength,
Yoga,Tuesday,1230 - 1330,1,Flexibility/Wellbeing,
Cardiac Rehab,Tuesday,1300 - 1400,3a,Cardio/Strength/ Wellbeing,
Metafit,Tuesday,1720 - 1750,3a,Cardio,
Indoor cycling,Tuesday,1745 - 1830,1,Cardio,
Callanetics,Tuesday,1750 - 1850,3,Strength,
BodyStep,Tuesday,1755 - 1855 ,3a,Cardio,
BodyBalance,Tuesday,1900 - 2000,1,Strength,
BodyPump,Tuesday,1900 - 2000,3a,Strength,
CXWORX,Wednesday,0625 - 0655,3a,Strength,
Cycleblast,Wednesday,0700 - 0745,1,Cardio,
Cardiac Rehab,Wednesday,1115 - 1215,3a,Cardio/Strength/Wellness,
Zumba,Wednesday,1210 - 1255,3,Cardio,
Pilates,Wednesday,1215 - 1315,1,Flexibility/Wellness,
Body Attack Express ,Wednesday,1220 - 1250,3a,Cardio/Strength,
Metafit,Wednesday,1300 - 1330,3,Cardio,
"Legs, Bums and Tums",Wednesday,1300 - 1345,3a,Strength,
Yoga,Wednesday,1330 - 1430,1,Flexibiliy/Wellbeing,
Cardiac Rehab,Wednesday,1715 - 1815,3a,Cardio/Strength/Wellbeing,
Jog Scotland,Wednesday,1800 - 1900,CAFƒ,Cardio,
Circuits,Wednesday,1800 - 1900,Hall,Cardio/Strength/Flexibility,
Combat,Wednesday,1820 - 1920,3a,Cardio,
Abs blast,Wednesday,1855 - 1925,3,Strength,
Awareness Yoga,Wednesday,1900 - 2030,1,Flexibility/Wellness,
Bodypump,Wednesday,1935 - 2035,3a,Strength,
Body Combat Express,Thursday,0630 - 0700,3a,Cardio,
Metafit,Thursday,0705 - 0735,3a,Cardio,
Pilates,Thursday,0930 - 1030,1,Flexibility/Wellness,
BodyPump,Thursday,1200 - 1245,3a,Strength,
Metafit,Thursday,1305 - 1355,3a,Cardio,
Indoor Cycling,Thursday,1310 - 1340,1,Cardio,
Fitsteps,Thursday,1315 - 1400,1,Cardio,
CXWORX,Thursday,1740 - 1810,1,Strength,
BodyStep,Thursday,1745 - 1845,3a,Cardio,
Bodyattack,Thursday,1815 - 1900,1,Cardio/strength,
Metafit,Thursday,1900 - 1930,3,Cardio,
Bodybalance,Thursday,1910 - 1955,1,Flexibility/Wellness,
Metafit,Friday,0645 - 0715,3a,Cardio,
Aqua Zumba,Friday,1100 - 1145,Pool,Cardio,
BSPT Bootcamp,Friday,1215 - 1300 ,3a,Cardio/Strength/Wellbeing,
Yoga,Friday,1230 - 1330,1,Flexibility,
Indoor Cycling,Friday,1745 - 1815,1,Cardio,
Body Attack Express,Friday,1730 - 1800,3a,Strength,
Body Pump,Friday,1815 - 1915,3a,Strength,
Indoor Cycling,Saturday,0915 - 1000,1,Cardio,
Abs blast,Saturday,1010 - 1040,3a,Strength,
BodyAttack,Saturday,1045 - 1145,3a,Cardio/Strength,
BodyBalance,Saturday,1050 - 1150,3,Flexibility/Wellbeing,
BodyStep,Sunday,0945 - 1045,3a,Cardio,
BodyPump,Sunday,1055 - 1155,3a,Strength,
BodyBalance,Sunday,1205 - 1250,1,Flexibility/Wellbeing,
