Class	Day	Time	Studio	Type 	Description 	Image
Kettlebells	Monday	0645 - 0745	3a	Strength	"Kettlebells can be used in ballistic or swinging movements utilizing the whole body along
 with more traditional press and squat exercises. The displacement of the weight from 
the hand requires the stabilizing muscles to work. 
Kettlebell exercises are full body movements requiring all over integratin and core stabilization.   "	
Pilates	Monday	0930 - 1030	1	Flexibility/Wellbeing	Pilates concentrates on slow and measured movements in order to create lean and strong muscles.	
Body Balance 	Monday	1215 - 1315	1	Flexibility/Strength/Wellbeing	"This Yoga, Tai Chi, Pilates workout builds flexibility and strength and leaves you feeling 
centred and calm. Controlled breathing, concentration and a carefully structured
series of stretches, moves and poses to music create a holistic workout that brings
 the body into a state of harmony and balance."	
Body Pump	Monday	1215 - 1300	3a	Strength	"Body Pump is the original barbell class that strengthens your entire body. This workout challenges all your 
major muscle groups by using the best weight room exercises like squats, presses, lifts and curls. 
Great music, awesome instructors and your choice of weight inspire you to get the results you came for – and fast"	
Zumba Gold	Monday	1320 - 1405	3a	Cardio	"Designed for the older adult. Active people who have not been exercising for some time or are physically limited.
 Lower intensity than Zumba. Same great style of Latin music."	
Indoor cycling	Monday	1730 - 1800 	1	Cardio	"A real calorie burner. using upbeat music has no complex routines or choreography. 
Highly motivating with classes geared for all levels. "	
CXWORX	Monday	1740 - 1810	3a	Cardio	"30 minute workout based in cutting edge scientific research , this program is the ultimate way to get a tight and
 toned core. With dynamic training that hones in on your abs, glutes, back, obliques and slings connecting
 the upper and lower body, this workout will leave you looking and feeling strong."	
Pilates	Monday	1810 - 1910	1	Flexibility/Wellbeing	Pilates concentrates on slow and measured movements in order to create lean and strong muscles.	
BodyCombat	Monday	1820 - 1920	3a	Cardio	"This fiercely energetic program is inspired by martial arts and draws from a wide array 
of disciplines such as Karate, boxing, Taekwondo, Tai Chi and Muay Thai. Supported
 by driving music and powerful role model instructors, strike, punch, kick and kata your 
way through calories to superior cardio fitness. "	
Kettlebells	Monday	1830 - 1915	3	Strength	"Kettlebells can be used in ballistic or swinging movements utilizing the whole body along
 with more traditional press and squat exercises. The displacement of the weight from 
the hand requires the stabilizing muscles to work. 
Kettlebell exercises are full body movements requiring all over integratin and core stabilization.   "	
Body Attack	Monday	1930 - 2030	3/3a	Cardio	"A sports inspired cardio workout for building strength and stamina. This high energy interval training class combines
 athletic aerobic movements with strength and stabilization exercises. Dynamic instructors and powerful music motivate everyone towards their fitness goals - from the weekend athlete to the hard-core competitor! "	
BodyBalance	Monday	1930 - 2025	1	Flexibility/Strength/Wellbeing	"This Yoga, Tai Chi, Pilates workout builds flexibility and strength and leaves you feeling 
centred and calm. Controlled breathing, concentration and a carefully structured
series of stretches, moves and poses to music create a holistic workout that brings
 the body into a state of harmony and balance."	
Metafit	Tuesday	0630 - 0700	3a	Cardio 	"The metafit 30 minute bodyweight training system gets results. It is a functional and effective, metabolic workout
 using high intensity training. "	
Endurance Cycling	Tuesday	0700 - 0800	1	Cardio 	"Endurance cycling is a great cardiovascular workout. Maintain a fast cadence then progress into a hill climb 
whilst listening to motivating music on fully adjustable bikes. Builds endurance, strength and tones."	
Pilates	Tuesday	0930 - 1030	1	Flexibility/Wellbeing	Pilates concentrates on slow and measured movements in order to create lean and strong muscles.	
